Column,count,mean,std,min,25%,50%,75%,max
DEPT,7254.0,9666.289219740833,1064.2044948739074,7800.0,8750.625,9661.25,10591.375,11513.0
GR,7254.0,47.502784973807564,13.358731786990766,22.2,36.675025,44.8667,56.1,127.3
CALI,7254.0,9.34285623104494,1.519767622182443,8.2867,8.5467,8.6667,9.56,19.38
SP,7254.0,-84.07186479183898,21.996152184461973,-125.2222,-100.72775,-92.83335,-64.0444,-34.8444
ILD,7254.0,21.52170974634684,24.883915026296812,4.0897,9.7606,13.8083,20.3927,232.899
SFLU,7254.0,23.48848811690102,16.15476307302466,4.8272,12.671,20.372700000000002,26.4193,119.041
MSFL,7254.0,29.419024510614832,14.823329788117482,5.7504,14.6683,32.99125,38.619749999999996,197.5589
DT,7254.0,83.08569958643506,8.063093990156217,56.0667,76.56115,83.9556,87.7778,125.1333
RHOB,7254.0,2.3981342156051837,0.0908787038907274,2.1713,2.3204,2.3793,2.48035,2.6493
DRHO,7254.0,0.005995078577336642,0.022420130694270294,-0.0247,-0.006,0.0,0.0091,0.1743
PEF,7254.0,3.0590011855527983,0.3795224836814238,2.28,2.7378,3.0267,3.3422,5.52
NPHI,7254.0,23.227506506754896,3.44340155473147,8.8133,21.0533,23.6,25.24,52.8933
Porosity,7254.0,0.21349664531698878,0.03139399261360348,0.09569597021817643,0.19046758080186554,0.21262688254353626,0.2370953530920146,0.4221884859330621
Permeability k,7254.0,246.43209690625534,728.6449626767476,0.540288638756608,34.67658290480687,79.4050690463645,295.1449213632296,31684.04475460578
Water Saturation Sw,7254.0,0.49024759912241306,0.18561452532006695,0.10013651222904182,0.3455955764415015,0.502776284703378,0.6254474598829253,1.3599453465285882
