Feature,Coefficient,Importance
NPHI_RHOB_product,-0.46243049485069404,0.46243049485069404
log10_ILD,-0.3256356255095917,0.3256356255095917
NPHI,0.2087676741257934,0.2087676741257934
NPHI_minus_DRHO,0.20865707372024542,0.20865707372024542
RHOB,0.1864019319539855,0.1864019319539855
log10_SFLU,0.12979142511851624,0.12979142511851624
ILD_to_SFLU,0.0614544800140606,0.0614544800140606
ILD_roll15_mean,0.03922969863060229,0.03922969863060229
DT_roll15_mean,0.027313968505285283,0.027313968505285283
RHOB_roll5_mean,-0.025481602212206633,0.025481602212206633
RHOB_roll15_mean,0.015052347911355388,0.015052347911355388
ILD_roll15_std,-0.014873286336443232,0.014873286336443232
GR_DT_product,0.011488617803567849,0.011488617803567849
MSFL_to_SFLU,0.011421866325321507,0.011421866325321507
log10_MSFL,-0.010879237669048103,0.010879237669048103
SFLU,-0.010675835285103179,0.010675835285103179
ILD_roll5_mean,0.00957302934334143,0.00957302934334143
GR,-0.009490270267032235,0.009490270267032235
MSFL,-0.008814826465273538,0.008814826465273538
DT,-0.007735020760109559,0.007735020760109559
SP,0.007099859978312704,0.007099859978312704
NPHI_roll15_std,0.006917090714835255,0.006917090714835255
NPHI_roll15_mean,0.0067320997397969165,0.0067320997397969165
DEPT,0.004767943086884479,0.004767943086884479
DEPT_normalized,0.004767943086768337,0.004767943086768337
DT_roll15_std,-0.0046896610562545075,0.0046896610562545075
GR_roll5_mean,-0.004627771079084026,0.004627771079084026
NPHI_roll5_mean,0.004546632464911686,0.004546632464911686
ILD_to_MSFL,0.0043959401762325035,0.0043959401762325035
GR_roll15_mean,-0.0028406790114000684,0.0028406790114000684
RHOB_roll15_std,0.002646994099431464,0.002646994099431464
CALI,0.0019457472288493915,0.0019457472288493915
GR_roll15_std,-0.0019004201483954935,0.0019004201483954935
ILD,0.0011361880691014993,0.0011361880691014993
PEF,-0.000866066511083854,0.000866066511083854
DRHO,-0.0007076834093959592,0.0007076834093959592
DT_roll5_mean,-0.0006389261955815303,0.0006389261955815303
